"index","pe","weight","avg"
1776,7,7,1
1777,7,7,1
1778,10,10,1
1779,14,14,1
178,8,8,1
1780,11,11,1
1781,7,7,1
1782,7,7,1
1783,7,7,1
1784,7,7,1
1785,7,7,1
1786,7,7,1
1787,7,7,1
1788,7,7,1
1789,7,7,1
179,7,7,1
1790,7,7,1
1791,7,7,1
1792,7,7,1
1793,7,7,1
1794,7,7,1
1795,7,7,1
1796,7,7,1
1797,7,7,1
1798,7,7,1
1799,7,7,1
18,5,5,1
180,4,4,1
1800,7,7,1
1801,7,7,1
1802,7,7,1
1803,7,7,1
1804,7,7,1
1805,7,7,1
1806,7,7,1
1807,7,7,1
1808,7,7,1
1809,7,7,1
181,4,4,1
1810,7,7,1
1811,7,7,1
1812,7,7,1
1813,7,7,1
1814,7,7,1
1815,7,7,1
1816,7,7,1
1817,7,7,1
1818,7,7,1
1819,7,7,1
182,4,4,1
1820,7,7,1
1821,8,8,1
1822,7,7,1
1823,7,7,1
1824,7,7,1
1825,7,7,1
1826,7,7,1
1827,9,9,1
1828,7,7,1
1829,8,8,1
183,8,8,1
1830,7,7,1
1831,23,23,1
1832,11,11,1
1833,7,7,1
1834,7,7,1
1835,9,9,1
1836,7,7,1
1837,7,7,1
1838,7,7,1
1839,7,7,1
184,7,7,1
1840,7,7,1
1841,7,7,1
1842,7,7,1
1843,7,7,1
1844,8,8,1
1845,7,7,1
1846,7,7,1
1847,7,7,1
1848,7,7,1
1849,7,7,1
185,4,4,1
1850,8,8,1
1851,7,7,1
1852,7,7,1
1853,9,9,1
1854,7,7,1
1855,14,14,1
1856,6,6,1
1857,6,6,1
1858,6,6,1
1859,6,6,1
186,4,4,1
1860,6,6,1
1861,6,6,1
1862,6,6,1
1863,6,6,1
1864,6,6,1
1865,6,6,1
1866,6,6,1
1867,6,6,1
1868,6,6,1
1869,6,6,1
187,6,6,1
1870,6,6,1
1871,6,6,1
1872,6,6,1
1873,6,6,1
1874,6,6,1
1875,6,6,1
1876,6,6,1
1877,6,6,1
1878,6,6,1
1879,6,6,1
188,4,4,1
1880,6,6,1
1881,11,11,1
1882,6,6,1
1883,6,6,1
1884,6,6,1
1885,8,8,1
1886,6,6,1
1887,8,8,1
1888,6,6,1
1889,8,8,1
189,4,4,1
1890,9,9,1
1891,6,6,1
1892,6,6,1
1893,6,6,1
1894,6,6,1
1895,7,7,1
1896,6,6,1
1897,6,6,1
1898,6,6,1
1899,6,6,1
19,9,9,1
190,4,4,1
1900,6,6,1
1901,6,6,1
1902,6,6,1
1903,6,6,1
1904,6,6,1
1905,6,6,1
1906,6,6,1
1907,6,6,1
1908,6,6,1
1909,6,6,1
191,4,4,1
1910,6,6,1
1911,6,6,1
