"index","a","b","c","d","e"
"1853","True","nonblock","parameter","Function","1"
"1854","True","nonblock","parameter","Function","1"
"1855","True","nonblock","parameter","Function","1"
"1855","True","curl_mfprintf","exclusion","Function","1"
"1856","True","nonblock","parameter","Function","1"
"1857","True","nonblock","parameter","Function","1"
"1858","True","nonblock","parameter","Function","1"
"1859","True","nonblock","parameter","Function","1"
"1860","True","nonblock","parameter","Function","1"
"1861","True","nonblock","parameter","Function","1"
"18613","!def(HAVE_STRTOK_R)","Curl_strtok_r","additon","Function","1"
"1862","True","nonblock","parameter","Function","1"
"1863","True","nonblock","parameter","Function","1"
"1864","True","nonblock","parameter","Function","1"
"1865","True","nonblock","specifier","Function","1"
"187","!def(HAVE_STRDUP)","strdup","additon","Function","1"
"18858","True","Curl_ipv6_scope","additon","Function","1"
"18902","True","CURLE_OK","additon","Function","3"
"19099","True","CURLE_OK","exclusion","Function","3"
"19170","True","Curl_base64_encode","additon","Function","3"
"19170","True","now","exclusion","Variable","3"
"19170","def(DEBUGBUILD)","moveHandleFromSendToRecvPipeline","additon","Function","3"
"19170","True","data","exclusion","Variable","3"
"19170","def(DEBUGBUILD)","Curl_move_handle_from_send_to_recv_pipe","additon","Function","3"
"19170","True","easy","exclusion","Variable","3"
"19170","True","multi","exclusion","Variable","3"
"19170","def(DEBUGBUILD)","checkPendPipeline","additon","Function","3"
"19170","True","base64_encode","exclusion","Function","3"
"19170","True","conn","exclusion","Variable","3"
"19170","def(DEBUGBUILD)","addHandleToSendOrPendPipeline","additon","Function","3"
"19170","def(DEBUGBUILD)","Curl_add_handle_to_pipeline","additon","Function","3"
"19172","True","variables","additon","Variable","2"
"1919","True","FormAdd","additon","Function","1"
"19229","def(DEBUGBUILD)","checkPendPipeline","exclusion","Function","4"
"19229","def(DEBUGBUILD)","addHandleToSendOrPendPipeline","exclusion","Function","4"
"19229","def(DEBUGBUILD)","Curl_add_handle_to_pipeline","exclusion","Function","4"
"19229","True","data","additon","Variable","4"
"19229","True","now","additon","Variable","4"
"19229","def(DEBUGBUILD)","moveHandleFromSendToRecvPipeline","exclusion","Function","4"
"19229","True","multi","additon","Variable","4"
"19229","def(DEBUGBUILD)","Curl_move_handle_from_send_to_recv_pipe","exclusion","Function","4"
